1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,1,5
0,0,0,0,0,0,0,0,0,0,2,6
0,0,0,0,0,0,0,0,0,0,3,7
0,0,0,0,0,0,0,0,0,0,4,8
0,0,0,0,0,0,0,0,0,0,5,9
0,0,0,0,0,0,0,0,0,0,6,10
0,0,0,0,0,0,0,0,0,0,7,11
0,0,0,0,0,0,0,0,0,0,8,12
0,0,0,0,0,0,0,0,0,1,9,13
0,0,0,0,0,0,0,0,0,2,10,14
0,0,0,0,0,0,0,0,0,3,11,15
0,0,0,0,0,0,0,0,0,4,12,16
0,0,0,0,0,0,0,0,0,5,13,17
0,0,0,0,0,0,0,0,0,6,14,18
0,0,0,0,0,0,0,0,0,7,15,19
0,0,0,0,0,0,0,0,0,8,16,20
0,0,0,0,0,0,0,0,1,9,17,21
0,0,0,0,0,0,0,0,2,10,18,22
0,0,0,0,0,0,0,0,3,11,19,23
0,0,0,0,0,0,0,0,4,12,20,24
0,0,0,0,0,0,0,0,5,13,21,25
0,0,0,0,0,0,0,0,6,14,22,26
0,0,0,0,0,0,0,0,7,15,23,27
0,0,0,0,0,0,0,0,8,16,24,28
0,0,0,0,0,0,0,0,9,17,25,29
0,0,0,0,0,0,0,1,10,18,26,30
0,0,0,0,0,0,0,2,11,19,27,30
0,0,0,0,0,0,0,3,12,20,28,30
0,0,0,0,0,0,0,4,13,21,29,30
0,0,0,0,0,0,0,5,14,22,30,30
0,0,0,0,0,0,0,6,15,23,30,30
0,0,0,0,0,0,0,7,16,24,30,30
0,0,0,0,0,0,0,8,17,25,30,30
0,0,0,0,0,0,0,9,18,26,30,30
0,0,0,0,0,0,1,10,19,27,30,30
0,0,0,0,0,0,2,11,20,28,30,30
0,0,0,0,0,0,3,12,21,29,30,30
0,0,0,0,0,0,4,13,22,30,30,30
0,0,0,0,0,0,5,14,23,30,30,30
0,0,0,0,0,0,6,15,24,30,30,30
0,0,0,0,0,0,7,16,25,30,30,30
0,0,0,0,0,0,8,17,26,30,30,30
0,0,0,0,0,0,9,18,27,30,30,30
0,0,0,0,0,0,10,19,28,30,30,30
0,0,0,0,0,1,11,20,29,30,30,30
0,0,0,0,0,2,12,21,30,30,30,30
0,0,0,0,0,3,13,22,30,30,30,30
0,0,0,0,0,4,14,23,30,30,30,30
0,0,0,0,0,5,15,24,30,30,30,30
0,0,0,0,0,6,16,25,30,30,30,30
0,0,0,0,0,7,17,26,30,30,30,30
0,0,0,0,0,8,18,27,30,30,30,30
0,0,0,0,0,9,19,28,30,30,30,30
0,0,0,0,1,10,20,29,30,30,30,30
0,0,0,0,2,11,21,30,30,30,30,30
0,0,0,0,3,12,22,30,30,30,30,30
0,0,0,0,4,13,23,30,30,30,30,30
0,0,0,0,5,14,24,30,30,30,30,30
0,0,0,0,6,15,25,30,30,30,30,30
0,0,0,0,7,16,26,30,30,30,30,30
0,0,0,0,8,17,27,30,30,30,30,30
0,0,0,0,9,18,28,30,30,30,30,30
0,0,0,0,10,19,29,30,30,30,30,30
0,0,0,1,11,20,30,30,30,30,30,30
0,0,0,2,12,21,30,30,30,30,30,30
0,0,0,3,13,22,30,30,30,30,30,30
0,0,0,4,14,23,30,30,30,30,30,30
0,0,0,5,15,24,30,30,30,30,30,30
0,0,0,6,16,25,30,30,30,30,30,30
0,0,0,7,17,26,30,30,30,30,30,30
0,0,0,8,18,27,30,30,30,30,30,30
0,0,0,9,19,28,30,30,30,30,30,30
0,0,0,10,20,29,30,30,30,30,30,30
0,0,1,11,21,30,30,30,30,30,30,30
0,0,2,12,22,30,30,30,30,30,30,30
0,0,3,13,23,30,30,30,30,30,30,30
0,0,4,14,24,30,30,30,30,30,30,30
0,0,5,15,25,30,30,30,30,30,30,30
0,0,6,16,26,30,30,30,30,30,30,30
0,0,7,17,27,30,30,30,30,30,30,30
0,0,8,18,28,30,30,30,30,30,30,30
0,0,9,19,29,30,30,30,30,30,30,30
0,0,10,20,30,30,30,30,30,30,30,30
0,1,11,21,30,30,30,30,30,30,30,30
0,2,12,22,30,30,30,30,30,30,30,30
0,3,13,23,30,30,30,30,30,30,30,30
0,4,14,24,30,30,30,30,30,30,30,30
0,5,15,25,30,30,30,30,30,30,30,30
0,6,16,26,30,30,30,30,30,30,30,30
0,7,17,27,30,30,30,30,30,30,30,30
0,8,18,28,30,30,30,30,30,30,30,30
0,9,19,29,30,30,30,30,30,30,30,30
0,10,20,30,30,30,30,30,30,30,30,30
1,11,21,30,30,30,30,30,30,30,30,30
2,12,22,30,30,30,30,30,30,30,30,30
3,13,23,30,30,30,30,30,30,30,30,30
